	GCA_000013265.1	GCA_000008865.2	GCA_030271835.1	GCA_000005845.2	GCA_000069965.1
GCA_000013265.1	0.0	0.3048	0.0008	0.3361	0.0008
GCA_000008865.2	0.3048	0.0	0.0008	0.446	0.0008
GCA_030271835.1	0.0008	0.0008	0.0	0.0009	0.0262
GCA_000005845.2	0.3361	0.446	0.0009	0.0	0.0009
GCA_000069965.1	0.0008	0.0008	0.0262	0.0009	0.0
